Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R004762,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Curio Wellness,11/01/20-10/31/21
R004792,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Google LLC and its Affiliates,11/01/20-10/31/21
R004795,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Intuition Solutions,11/01/20-10/31/21
R004798,"Johansen, Michael V",Rifkin Weiner Livingston LLC,"Lexington Law (John C. Heath, Attorney at LLC dba Lexington Law Firm)",11/01/20-10/31/21
R004965,"Johansen, Michael V",Rifkin Weiner Livingston LLC,National Association of Real Estate Investment Trusts (NAREIT),11/01/20-10/31/21
R004991,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Pharmaceutical Care Management Association (PCMA),11/01/20-10/31/21
R004979,"Johansen, Michael V",Rifkin Weiner Livingston LLC,NIC Maryland,11/01/20-10/31/21
R005049,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Valic,11/01/20-10/31/21
R006929,"Johansen, Michael V",Rifkin Weiner Livingston LLC,"Fair Hill Foundation, Inc.",12/14/20-10/31/21
R007178,"Johansen, Michael V",Rifkin Weiner Livingston LLC,"URW Airports, LLC",01/11/21-10/31/21
R007644,"Johansen, Michael V",Rifkin Weiner Livingston LLC,"Fusion Capital Management, LLC",03/18/21-10/31/21
R007797,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Savaria Corporation,05/24/21-10/31/21
R004804,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Maryland Jockey Club,11/01/20-10/31/21
R008886,"Johansen, Michael V",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",11/01/21-10/31/22
R008101,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Atlanticus Services Corporation,11/01/21-10/31/22
R008920,"Johansen, Michael V",Rifkin Weiner Livingston LLC,"Gaudenzia, Inc.",11/01/21-10/31/22
R008913,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Encompass Health,11/01/21-10/31/22
R008902,"Johansen, Michael V",Rifkin Weiner Livingston LLC,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/21-10/31/22
R008935,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Maryland Association of Realtors,11/01/21-10/31/22
R008906,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Colonial Pipeline Company,11/01/21-10/31/22
R008930,"Johansen, Michael V",Rifkin Weiner Livingston LLC,"Progrexion ASG, Inc.",11/01/21-10/31/22
R008953,"Johansen, Michael V",Rifkin Weiner Livingston LLC,NIC Maryland,11/01/21-10/31/22
R008943,"Johansen, Michael V",Rifkin Weiner Livingston LLC,"Maryland Jockey Club (Pimlico, Laurel and Rosecroft Racetracks)",11/01/21-10/31/22
R008998,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Premium Cigar Retailers Association of Maryland,11/01/21-10/31/22
R008999,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,11/01/21-10/31/22
R009121,"Johansen, Michael V",Rifkin Weiner Livingston LLC,TC Energy,11/01/21-10/31/22
R009127,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Valic,11/01/21-10/31/22
R009220,"Johansen, Michael V",Rifkin Weiner Livingston LLC,"Joseph Smith & Sons, Inc.",11/01/21-10/31/22
R010645,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Peak Healthcare,11/05/21-10/31/22
R001210,"Johnson, Robert G.","Capitol Strategies, LLC",Compassion and Choices,11/01/19-10/31/20
R001259,"Johnson, Robert G.","Capitol Strategies, LLC","Lyft, Inc.",11/01/19-10/31/20
R001264,"Johnson, Robert G.","Capitol Strategies, LLC",Vanguard Retail Property Development,11/01/19-10/31/20
R001359,"Johnson, Robert G.","Capitol Strategies, LLC",Gannett Fleming,11/01/19-10/31/20
R002651,"Johnson, Robert G.","Capitol Strategies, LLC",Girls Who Code,11/01/19-10/31/20
R003845,"Johnson, Letitia M",Letitia Johnson,Letitia Johnson,04/27/20-10/31/20
R001193,"Johnson, Robert G.","Capitol Strategies, LLC",Bombardier Mass Transit Corporation,11/01/19-10/31/20
R001214,"Johnson, Robert G.","Capitol Strategies, LLC",Covanta Energy LLC,11/01/19-10/31/20
R001255,"Johnson, Robert G.","Capitol Strategies, LLC",Exelon Corporation,11/01/19-10/31/20
R001358,"Johnson, Robert G.","Capitol Strategies, LLC","Verizon/DCI Group AZ, LLC",11/01/19-10/31/20
R001473,"Johnson, Deron A",N/A,"Amgen, Inc.",11/01/19-10/31/20
R001640,"Johnson, Robert G.","Capitol Strategies, LLC","Northbay Education, Inc.",11/01/19-10/31/20
R001629,"Johnson, Robert G.","Capitol Strategies, LLC","Erickson Living Management, LLC",11/01/19-10/31/20
R001633,"Johnson, Robert G.","Capitol Strategies, LLC",MGM Resorts International,11/01/19-10/31/20
R001819,"Johnson, Kathryn ","Christian Science Committee on Publication for Maryland, Inc.","Christian Science on Publication for MD, Inc.",11/01/19-10/31/20
R001167,"Johnson, Robert G.","Capitol Strategies, LLC",Accenture LLP,11/01/19-10/31/20
R001257,"Johnson, Robert G.","Capitol Strategies, LLC",International Council of Shopping Centers,11/01/19-10/31/20
R001261,"Johnson, Robert G.","Capitol Strategies, LLC",Maryland School Bus Contractors Association,11/01/19-10/31/20
R001183,"Johnson, Robert G.","Capitol Strategies, LLC",Association for Accessible Medicines,11/01/19-10/31/20
R001268,"Johnson, Andrea ",National Women's Law Center,National Women’s Law Center,11/01/19-10/31/20
R001625,"Johnson, Robert G.","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/19-10/31/20
R001637,"Johnson, Robert G.","Capitol Strategies, LLC","Redwood Capital Investments, LLC",11/01/19-10/31/20
R006687,"Johnson, Andrea ",National Women's Law Center,National Women's Law Center,11/27/20-10/31/21
R007860,"Johnson, Morgan A",Waterkeepers Chesapeake,Waterkeepers Chesapeake,07/06/21-08/25/21
R000399,"Johnson, Sean ",Maryland State Education Association,Maryland State Education Association,11/01/19-10/31/20
R001265,"Johnson, Robert G.","Capitol Strategies, LLC",Veritas HHS,11/01/19-10/31/20
R001266,"Johnson, Robert G.","Capitol Strategies, LLC",W.L. Gore & Associates,11/01/19-10/31/20
R001262,"Johnson, Robert G.","Capitol Strategies, LLC","MTC Logistics, Inc.",11/01/19-10/31/20
R001263,"Johnson, Robert G.","Capitol Strategies, LLC",Novolex,11/01/19-10/31/20
R001627,"Johnson, Robert G.","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/19-10/31/20
R001634,"Johnson, Robert G.","Capitol Strategies, LLC",Tradepoint Atlantic,11/01/19-10/31/20
R001202,"Johnson, Robert G.","Capitol Strategies, LLC",Chesapeake Regional Information System for our Patients,11/01/19-10/31/20
R001179,"Johnson, Robert G.","Capitol Strategies, LLC",Anne Arundel Medical Center,11/01/19-10/31/20
R001174,"Johnson, Robert G.","Capitol Strategies, LLC","American Express Travel Related Services, Inc.",11/01/19-10/31/20
R001196,"Johnson, Robert G.","Capitol Strategies, LLC",Centurion,11/01/19-10/31/20
R005575,"Johnson, Deron A",N/A,"Amgen, Inc.",11/01/20-10/31/21
R007145,"Johnson, Korey Toddae",Jobs Opportunity Task Force,Job Opportunities Task Force (JOTF),01/13/21-05/28/21
R008611,"Johnson, Deron A",N/A,"Amgen, Inc.",11/01/21-10/31/22
R005203,"Johnson, Kathryn ","Christian Science Committee on Publication for Maryland, Inc.","Christian Science on Publication for MD, Inc.",11/01/20-10/31/21
R002708,"Johnston, III., Eric L",Coca-Cola Consolidated Inc. ,Coca-Cola Consolidated Inc.,11/22/19-10/31/20
R001345,"Jones, Lisa ",Harris Jones & Malone,Associated Builders & Contractors,11/01/19-10/31/20
R001351,"Jones, Lisa ",Harris Jones & Malone,"Cold Press, LLC",11/01/19-07/08/20
R001472,"Jones, Lisa ",Harris Jones & Malone,RELX Group,11/01/19-10/31/20
R001489,"Jones, Lisa ",Harris Jones & Malone,House of Ruth Maryland,11/01/19-10/31/20
R001492,"Jones, Lisa ",Harris Jones & Malone,"HopSkipDrive, Inc.",11/01/19-10/31/20
R001442,"Jones, Lisa ",Harris Jones & Malone,"Joseph Smith & Sons, Inc.",11/01/19-10/31/20
R001444,"Jones, Lisa ",Harris Jones & Malone,Mariner Finance,11/01/19-10/31/20
R001477,"Jones, Lisa ",Harris Jones & Malone,Verizon Communications,11/01/19-10/31/20
R003038,"Jones, Lisa ",Harris Jones & Malone,"Arkema, Inc.",12/27/19-10/31/20
R003259,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Quality Imaging Access Coalition of Maryland,01/14/20-10/31/20
R003262,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Atlantic Recycling Group,01/14/20-10/31/20
R003264,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Maryland Hospital Association,01/14/20-10/31/20
R003515,"Jones, Lisa ",Harris Jones & Malone,ABC of Greater Baltimore,02/03/20-10/31/20
R006458,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",University of Maryland Charles Regional Medical Center,11/01/20-10/31/21
R006459,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Heartland Dental,11/01/20-10/31/21
R008792,"Jones, Laura Jane","The Dignity Mandate, Inc.","Dignity Mandate, The",11/01/21-10/31/22
R009327,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",University of Maryland Charles Regional Medical Center,11/01/21-10/31/22
R009325,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Maryland Radiological Society,11/01/21-10/31/22
R009324,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Heartland Dental,11/01/21-10/31/22
R009216,"Jones, Lisa ",Harris Jones & Malone,Curtis Bay Medical Waste Services,11/01/21-10/31/22
R009232,"Jones, Lisa ",Harris Jones & Malone,"Maryland DC Vending Association, Inc.",11/01/21-10/31/22
R009221,"Jones, Lisa ",Harris Jones & Malone,Associated Builders & Contractors,11/01/21-10/31/22
R009222,"Jones, Lisa ",Harris Jones & Malone,Baltimore Gas and Electric Company,11/01/21-10/31/22
R009217,"Jones, Lisa ",Harris Jones & Malone,Maryland Multi-Housing Association,11/01/21-10/31/22
R009164,"Jones, Lisa ",Harris Jones & Malone,KPMG LLP,11/01/21-10/31/22
R009168,"Jones, Lisa ",Harris Jones & Malone,"United Way of Central Maryland, Inc.",11/01/21-10/31/22
R009247,"Jones, Lisa ",Harris Jones & Malone,McDonald's Corporation,11/01/21-10/31/22
R009236,"Jones, Lisa ",Harris Jones & Malone,"Family Tree, The",11/01/21-10/31/22
R009171,"Jones, Lisa ",Harris Jones & Malone,Harford County Government,11/01/21-10/31/22
R009241,"Jones, Lisa ",Harris Jones & Malone,"Gordian Group, The",11/01/21-10/31/22
R009000,"Jones, Lisa ",Harris Jones & Malone,Chesapeake Employers' Insurance Company,11/01/21-10/31/22
R007042,"Jones, Laura Jane","The Dignity Mandate, Inc.","Dignity Mandate, The",01/06/21-10/31/21
R006042,"Jones, Lisa ",Harris Jones & Malone,"Genentech, Inc., a Member of the Roche Group",11/01/20-10/31/21
R006037,"Jones, Lisa ",Harris Jones & Malone,Chesapeake Employers' Insurance Company,11/01/20-10/31/21
R006046,"Jones, Lisa ",Harris Jones & Malone,Greater Baltimore Committee,11/01/20-10/31/21
R006077,"Jones, Lisa ",Harris Jones & Malone,Verizon Communications,11/01/20-10/31/21
R006064,"Jones, Lisa ",Harris Jones & Malone,Washington Psychiatric Society,11/01/20-10/31/21
R006063,"Jones, Lisa ",Harris Jones & Malone,Maryland Psychiatric Society,11/01/20-10/31/21
R006782,"Jones, Lisa ",Harris Jones & Malone,"Wheelabrator Technologies, Inc.",11/30/20-10/31/21
R006055,"Jones, Lisa ",Harris Jones & Malone,"Literacy Lab, The",11/01/20-10/31/21
R007638,"Jones, Lisa ",Harris Jones & Malone,Moser Consulting,03/18/21-10/31/21
R006048,"Jones, Lisa ",Harris Jones & Malone,"Harris Jones & Malone, LLC",11/01/20-10/31/21
R007273,"Jones, Lisa ",Harris Jones & Malone,KPMG LLP,01/15/21-10/31/21
R006052,"Jones, Lisa ",Harris Jones & Malone,Jewish Community Relations Council of Greater Washington,11/01/20-10/31/21
R007470,"Jones, Lisa ",Harris Jones & Malone,"Arkema, Inc.",02/11/21-10/31/21
R001350,"Jones, Lisa ",Harris Jones & Malone,"Columbia Care, LLC",11/01/19-07/08/20
R001475,"Jones, Lisa ",Harris Jones & Malone,"Turo, Inc.",11/01/19-10/31/20
R001443,"Jones, Lisa ",Harris Jones & Malone,"Juul Labs, Inc.",11/01/19-10/31/20
R001446,"Jones, Lisa ",Harris Jones & Malone,"Maryland DC Vending Association, Inc.",11/01/19-10/31/20
R001471,"Jones, Lisa ",Harris Jones & Malone,"P3 Group, The",11/01/19-10/31/20
R003001,"Jones, Lisa ",Harris Jones & Malone,"Wheelabrator Technologies, Inc.",12/27/19-10/31/20
R003263,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Association of Dental Support Organizations,01/14/20-10/31/20
R003819,"Jones, Lisa ",Harris Jones & Malone,Real Diagnostics,03/25/20-07/03/20
R003821,"Jones, Lisa ",Harris Jones & Malone,"Micro Electronics, Inc.",03/25/20-10/31/20
R006070,"Jones, Lisa ",Harris Jones & Malone,"Reynolds and Reynolds, Inc.",11/01/20-01/04/21
R009321,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Association of Dental Support Organizations,11/01/21-10/31/22
R009322,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Atlantic Recycling Group,11/01/21-10/31/22
R009256,"Jones, Lisa ",Harris Jones & Malone,Visit Baltimore,11/01/21-10/31/22
R009213,"Jones, Lisa ",Harris Jones & Malone,"Maryland Minority Contractors Association, Inc.",11/01/21-10/31/22
R009245,"Jones, Lisa ",Harris Jones & Malone,Maryland Dental Hygienists' Association,11/01/21-10/31/22
R009259,"Jones, Lisa ",Harris Jones & Malone,Norfolk Southern Corporation,11/01/21-10/31/22
R009170,"Jones, Lisa ",Harris Jones & Malone,"Rapid Financial Services, LLC",11/01/21-10/31/22
R009229,"Jones, Lisa ",Harris Jones & Malone,Maryland Automobile Insurance Fund,11/01/21-10/31/22
R009228,"Jones, Lisa ",Harris Jones & Malone,House of Ruth Maryland,11/01/21-10/31/22
R010140,"Jones, Lisa ",Harris Jones & Malone,Trademark Properties,11/01/21-10/31/22
R009538,"Jones, Lisa ",Harris Jones & Malone,Johns Hopkins,11/01/21-10/31/22
R007885,"Jones, Lisa ",Harris Jones & Malone,"Ensono, LP on behalf of National Strategies, LLC",07/16/21-10/31/21
R006059,"Jones, Lisa ",Harris Jones & Malone,Maryland Land Title Association,11/01/20-10/31/21
R006073,"Jones, Lisa ",Harris Jones & Malone,"United Way of Central Maryland, Inc.",11/01/20-10/31/21
R006081,"Jones, Lisa ",Harris Jones & Malone,"Rapid Financial Services, LLC",11/01/20-10/31/21
R007028,"Jones, Lisa ",Harris Jones & Malone,Southwest Airlines Co.,01/01/21-10/31/21
R006082,"Jones, Lisa ",Harris Jones & Malone,"Smithfield Foods, Inc.",11/01/20-10/31/21
R006041,"Jones, Lisa ",Harris Jones & Malone,"Gaming and Leisure Properties, Inc.",11/01/20-10/31/21
R006071,"Jones, Lisa ",Harris Jones & Malone,"Sprouts Farmers Market, Inc.",11/01/20-10/31/21
R006047,"Jones, Lisa ",Harris Jones & Malone,Harford County Government,11/01/20-10/31/21
R001347,"Jones, Lisa ",Harris Jones & Malone,Beltway Fine Wine,11/01/19-10/31/20
R001349,"Jones, Lisa ",Harris Jones & Malone,Chesapeake Employers' Insurance Company,11/01/19-10/31/20
R001468,"Jones, Lisa ",Harris Jones & Malone,Norfolk Southern Corporation,11/01/19-10/31/20
R001478,"Jones, Lisa ",Harris Jones & Malone,Visit Baltimore,11/01/19-10/31/20
R001482,"Jones, Lisa ",Harris Jones & Malone,"Walmart Stores, Inc.",11/01/19-10/31/20
R001440,"Jones, Lisa ",Harris Jones & Malone,Jewish Community Relations Council of Greater Washington,11/01/19-10/31/20
R001432,"Jones, Lisa ",Harris Jones & Malone,"Harris Jones & Malone, LLC",11/01/19-10/31/20
R001436,"Jones, Lisa ",Harris Jones & Malone,Health Facilities Association of Maryland,11/01/19-10/31/20
R002995,"Jones, Lisa ",Harris Jones & Malone,Johns Hopkins,11/01/19-10/31/20
R002997,"Jones, Lisa ",Harris Jones & Malone,"Reynolds and Reynolds, Inc.",12/27/19-10/31/20
R003261,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Maryland Radiological Society,01/14/20-10/31/20
R003669,"Jones, Lisa ",Harris Jones & Malone,Community Associations Institute/Maryland Legislative Action Committee,02/24/20-10/31/20
R003619,"Jones, Lisa ",Harris Jones & Malone,DeVry University,02/13/20-07/08/20
R004098,"Jones, Lisa ",Harris Jones & Malone,"Literacy Lab, The",08/28/20-10/31/20
R006984,"Jones, Hannah Elizabeth",Pica & Associates,Royal Farms,12/29/20-04/13/21
R007030,"Jones, Lisa ",Harris Jones & Malone,Maryland Restaurant Coalition,01/04/21-10/31/21
R002996,"Jones, Lisa ",Harris Jones & Malone,"Home Depot, Inc., The",12/27/19-10/31/20
R009006,"Jones, Lisa ",Harris Jones & Malone,Verizon Communications,11/01/21-10/31/22
R009009,"Jones, Lisa ",Harris Jones & Malone,"Literacy Lab, The",11/01/21-10/31/22
R009002,"Jones, Lisa ",Harris Jones & Malone,Greater Baltimore Committee,11/01/21-10/31/22
R009008,"Jones, Lisa ",Harris Jones & Malone,Jewish Community Relations Council of Greater Washington,11/01/21-10/31/22
R009214,"Jones, Lisa ",Harris Jones & Malone,Community Associations Institute/Maryland Legislative Action Committee,11/01/21-10/31/22
R009215,"Jones, Lisa ",Harris Jones & Malone,"Juul Labs, Inc.",11/01/21-10/31/22
R009169,"Jones, Lisa ",Harris Jones & Malone,Maryland Land Title Association,11/01/21-10/31/22
R009172,"Jones, Lisa ",Harris Jones & Malone,Southwest Airlines Co.,11/01/21-10/31/22
R009211,"Jones, Lisa ",Harris Jones & Malone,"Smithfield Foods, Inc.",11/01/21-10/31/22
R009252,"Jones, Lisa ",Harris Jones & Malone,"Turo, Inc.",11/01/21-10/31/22
R010138,"Jones, Lisa ",Harris Jones & Malone,NGPF Mission 2030 Fund,11/01/21-10/31/22
R009253,"Jones, Lisa ",Harris Jones & Malone,"Walmart Stores, Inc.",11/01/21-10/31/22
R010932,"Jones, Lisa ",Harris Jones & Malone,"DoorDash, Inc.",11/17/21-10/31/22
R001348,"Jones, Lisa ",Harris Jones & Malone,"Benevis, LLC",11/01/19-10/31/20
R009226,"Jones, Lisa ",Harris Jones & Malone,"Benevis, LLC",11/01/21-10/31/22
R006039,"Jones, Lisa ",Harris Jones & Malone,Community Associations Institute/Maryland Legislative Action Committee,11/01/20-10/31/21
R006060,"Jones, Lisa ",Harris Jones & Malone,"Maryland Minority Contractors Association, Inc.",11/01/20-10/31/21
R006062,"Jones, Lisa ",Harris Jones & Malone,Maryland Multi-Housing Association,11/01/20-10/31/21
R006044,"Jones, Lisa ",Harris Jones & Malone,"Juul Labs, Inc.",11/01/20-10/31/21
R006050,"Jones, Lisa ",Harris Jones & Malone,"Home Depot, Inc., The",11/01/20-10/31/21
R007275,"Jones, Lisa ",Harris Jones & Malone,Ancestry.com LLC,01/20/21-10/31/21
R006054,"Jones, Lisa ",Harris Jones & Malone,"Joseph Smith & Sons, Inc.",11/01/20-10/31/21
R006083,"Jones, Lisa ",Harris Jones & Malone,Curtis Bay Medical Waste Services,11/01/20-10/31/21
R006067,"Jones, Lisa ",Harris Jones & Malone,"P3 Group, The",11/01/20-10/31/21
R006457,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Lexington Park Investors,11/01/20-04/01/21
R001343,"Jones, Lisa ",Harris Jones & Malone,Baltimore Gas and Electric Company,11/01/19-10/31/20
R001344,"Jones, Lisa ",Harris Jones & Malone,"American Sugar Refining, Inc.",11/01/19-10/31/20
R001346,"Jones, Lisa ",Harris Jones & Malone,Baltimore Industrial Group,11/01/19-10/31/20
R001423,"Jones, Lisa ",Harris Jones & Malone,"Genentech, Inc., a Member of the Roche Group",11/01/19-10/31/20
R001426,"Jones, Lisa ",Harris Jones & Malone,"Gordian Group, The",11/01/19-10/31/20
R001429,"Jones, Lisa ",Harris Jones & Malone,Harford County Government,11/01/19-10/31/20
R001449,"Jones, Lisa ",Harris Jones & Malone,"Maryland Minority Contractors Association, Inc.",11/01/19-10/31/20
R001457,"Jones, Lisa ",Harris Jones & Malone,National Multiple Sclerosis Society,11/01/19-10/31/20
R001474,"Jones, Lisa ",Harris Jones & Malone,"TEGSCO, LLC",11/01/19-10/31/20
R001445,"Jones, Lisa ",Harris Jones & Malone,Maryland Automobile Insurance Fund,11/01/19-10/31/20
R002731,"Jones, Laura Jane","The Dignity Mandate, Inc.","Dignity Mandate, The",11/01/19-10/31/20
R003000,"Jones, Lisa ",Harris Jones & Malone,"Mexichem Fluor, Inc.",12/27/19-10/31/20
R003260,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",University of Maryland Charles Regional Medical Center,01/14/20-10/31/20
R003561,"Jones, Lisa ",Harris Jones & Malone,"Sprouts Farmers Market, Inc.",02/07/20-10/31/20
R003571,"Jones, Lisa ",Harris Jones & Malone,"Rapid Financial Services, LLC",02/07/20-10/31/20
R003692,"Jones, Lisa ",Harris Jones & Malone,"Smithfield Foods, Inc.",02/26/20-10/31/20
R003952,"Jones, Lisa ",Harris Jones & Malone,Vertex Pharmaceuticals Incorporated,06/08/20-10/31/20
R006452,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Association of Dental Support Organizations,11/01/20-10/31/21
R006453,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Maryland Radiological Society,11/01/20-10/31/21
R007534,"Jones, Chad ","Cisco Systems, Inc.","Cisco Systems, Inc.",02/22/21-10/31/21
R009266,"Jones, Lisa ",Harris Jones & Malone,"Penn National Gaming, Inc.",11/01/21-10/31/22
R009167,"Jones, Lisa ",Harris Jones & Malone,"Sprouts Farmers Market, Inc.",11/01/21-10/31/22
R009224,"Jones, Lisa ",Harris Jones & Malone,Baltimore Industrial Group,11/01/21-10/31/22
R009010,"Jones, Lisa ",Harris Jones & Malone,"Wheelabrator Technologies, Inc.",11/01/21-10/31/22
R009219,"Jones, Lisa ",Harris Jones & Malone,"P3 Group, The",11/01/21-10/31/22
R009258,"Jones, Lisa ",Harris Jones & Malone,Beltway Fine Wine,11/01/21-10/31/22
R009535,"Jones, Lisa ",Harris Jones & Malone,"HMR of Maryland, LLC",11/01/21-10/31/22
R009005,"Jones, Lisa ",Harris Jones & Malone,Washington Psychiatric Society,11/01/21-10/31/22
R009004,"Jones, Lisa ",Harris Jones & Malone,Maryland Psychiatric Society,11/01/21-10/31/22
R009539,"Jones, Lisa ",Harris Jones & Malone,Planned Parenthood of Maryland,11/01/21-10/31/22
R009254,"Jones, Lisa ",Harris Jones & Malone,Eastman Chemical Company,11/01/21-10/31/22
R009249,"Jones, Lisa ",Harris Jones & Malone,RELX Group,11/01/21-10/31/22
R010946,"Jones, Lisa ",Harris Jones & Malone,Mariner Finance,11/17/21-10/31/22
R006058,"Jones, Lisa ",Harris Jones & Malone,"Maryland DC Vending Association, Inc.",11/01/20-10/31/21
R006061,"Jones, Lisa ",Harris Jones & Malone,Maryland Dental Hygienists' Association,11/01/20-10/31/21
R006032,"Jones, Lisa ",Harris Jones & Malone,Baltimore Gas and Electric Company,11/01/20-10/31/21
R006043,"Jones, Lisa ",Harris Jones & Malone,Vertex Pharmaceuticals Incorporated,11/01/20-10/31/21
R006045,"Jones, Lisa ",Harris Jones & Malone,"Gordian Group, The",11/01/20-10/31/21
R006051,"Jones, Lisa ",Harris Jones & Malone,House of Ruth Maryland,11/01/20-10/31/21
R006065,"Jones, Lisa ",Harris Jones & Malone,McDonald's Corporation,11/01/20-10/31/21
R006056,"Jones, Lisa ",Harris Jones & Malone,Mariner Finance,11/01/20-10/31/21
R006069,"Jones, Lisa ",Harris Jones & Malone,RELX Group,11/01/20-10/31/21
R006057,"Jones, Lisa ",Harris Jones & Malone,Maryland Automobile Insurance Fund,11/01/20-10/31/21
R006053,"Jones, Lisa ",Harris Jones & Malone,Johns Hopkins,11/01/20-10/31/21
R006031,"Jones, Lisa ",Harris Jones & Malone,Associated Builders & Contractors,11/01/20-10/31/21
R006040,"Jones, Lisa ",Harris Jones & Malone,"Family Tree, The",11/01/20-10/31/21
R007274,"Jones, Lisa ",Harris Jones & Malone,Eastman Chemical Company,01/18/21-10/31/21
R006033,"Jones, Lisa ",Harris Jones & Malone,Baltimore Industrial Group,11/01/20-10/31/21
R006035,"Jones, Lisa ",Harris Jones & Malone,"Benevis, LLC",11/01/20-10/31/21
R006079,"Jones, Lisa ",Harris Jones & Malone,"Walmart Stores, Inc.",11/01/20-10/31/21
R006049,"Jones, Lisa ",Harris Jones & Malone,"HMR of Maryland, LLC",11/01/20-10/31/21
R007608,"Jones, Lisa ",Harris Jones & Malone,"HopSkipDrive, Inc.",03/09/21-10/31/21
R006072,"Jones, Lisa ",Harris Jones & Malone,"Turo, Inc.",11/01/20-10/31/21
R001352,"Jones, Lisa ",Harris Jones & Malone,"Family Tree, The",11/01/19-10/31/20
R001422,"Jones, Lisa ",Harris Jones & Malone,"Gaming and Leisure Properties, Inc.",11/01/19-10/31/20
R001447,"Jones, Lisa ",Harris Jones & Malone,Maryland Dental Hygienists' Association,11/01/19-10/31/20
R001451,"Jones, Lisa ",Harris Jones & Malone,Maryland Multi-Housing Association,11/01/19-10/31/20
R001453,"Jones, Lisa ",Harris Jones & Malone,Maryland Psychiatric Society,11/01/19-10/31/20
R001455,"Jones, Lisa ",Harris Jones & Malone,McDonald's Corporation,11/01/19-10/31/20
R001427,"Jones, Lisa ",Harris Jones & Malone,Greater Baltimore Committee,11/01/19-10/31/20
R001485,"Jones, Lisa ",Harris Jones & Malone,War Horse,11/01/19-10/31/20
R001438,"Jones, Lisa ",Harris Jones & Malone,"HMR of Maryland, LLC",11/01/19-10/31/20
R002727,"Jones, Thomas H","The Dignity Mandate, Inc.","Dignity Mandate, The",11/01/19-10/31/20
R002820,"Jones, Lisa ",Harris Jones & Malone,Secure-Democracy,12/05/19-10/31/20
R003040,"Jones, Lisa ",Harris Jones & Malone,Dow/DuPont,12/27/19-10/31/20
R003258,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Lexington Park Investors,01/14/20-10/31/20
R003217,"Jones, Ricarra ",1199seiu,1199 SEIU,01/08/20-04/17/20
R003400,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Heartland Dental,01/24/20-10/31/20
R003588,"Jones, Lisa ",Harris Jones & Malone,Samaritan Ministries International,02/11/20-10/31/20
R004024,"Jones, Lisa ",Harris Jones & Malone,"United Way of Central Maryland, Inc.",07/17/20-10/31/20
R004025,"Jones, Lisa ",Harris Jones & Malone,Maryland Land Title Association,07/17/20-10/31/20
R006455,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Atlantic Recycling Group,11/01/20-10/31/21
R006456,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Quality Imaging Access Coalition of Maryland,11/01/20-10/31/21
R006664,"Jones, Hannah Elizabeth",Pica & Associates,"Maryland Oncology Hematology, P.A.",11/19/20-04/13/21
R009326,"Jones, Gary R","Baxter, Baker, Sidle, Conn & Jones, P.A",Quality Imaging Access Coalition of Maryland,11/01/21-10/31/22
